"pentagram","n","start","end"
"interests vested interests vested interests",250,"interests vested interests vested","interests"
"vested interests vested interests vested",250,"vested interests vested interests","vested"
"at the end of the",214,"at the end of","the"
"in the middle of the",129,"in the middle of","the"
"by the end of the",71,"by the end of","the"
"for the first time in",71,"for the first time","in"
"the end of the day",71,"the end of the","day"
"there are a lot of",58,"there are a lot","of"
"for those of you who",55,"for those of you","who"
"the other side of the",55,"the other side of","the"
"for the rest of the",49,"for the rest of","the"
"on the other side of",46,"on the other side","of"
"i thought it would be",45,"i thought it would","be"
"at the top of the",44,"at the top of","the"
"if you would like to",44,"if you would like","to"
"at the bottom of the",43,"at the bottom of","the"
"at the beginning of the",41,"at the beginning of","the"
"the middle of the night",40,"the middle of the","night"
"and the rest of the",39,"and the rest of","the"
"in the middle of a",39,"in the middle of","a"
"is one of the most",39,"is one of the","most"
"incorporated in item c above",36,"incorporated in item c","above"
"a couple of weeks ago",35,"a couple of weeks","ago"
"but at the same time",34,"but at the same","time"
"has nothing to do with",34,"has nothing to do","with"
"is going to be a",34,"is going to be","a"
"the end of the year",34,"the end of the","year"
"for the first time since",33,"for the first time","since"
"i have no idea what",33,"i have no idea","what"
"its going to be a",33,"its going to be","a"
"at the same time i",32,"at the same time","i"
"in item c above pp",32,"in item c above","pp"
"fake fake fake fake fake",31,"fake fake fake fake","fake"
"the end of the world",31,"the end of the","world"
"the rest of the world",30,"the rest of the","world"
"at the start of the",29,"at the start of","the"
"here are some of the",29,"here are some of","the"
"to be a part of",29,"to be a part","of"
"a couple of years ago",28,"a couple of years","ago"
"chicago illinois incorporated in item",28,"chicago illinois incorporated in","item"
"all you have to do",27,"all you have to","do"
"i cant wait to see",27,"i cant wait to","see"
"in the bottom of the",27,"in the bottom of","the"
"the rest of the day",27,"the rest of the","day"
"there is a lot of",27,"there is a lot","of"
"this is one of the",27,"this is one of","the"
"to be one of the",27,"to be one of","the"
"to the top of the",27,"to the top of","the"
"and i cant wait to",26,"and i cant wait","to"
"at the time of the",26,"at the time of","the"
"is a great way to",26,"is a great way","to"
"turned out to be a",26,"turned out to be","a"
"university of chicago chicago illinois",26,"university of chicago chicago","illinois"
"you have to do is",26,"you have to do","is"
"i have to say i",25,"i have to say","i"
"illinois incorporated in item c",25,"illinois incorporated in item","c"
"in the center of the",25,"in the center of","the"
"take a look at the",25,"take a look at","the"
"when it comes to the",25,"when it comes to","the"
"it was going to be",24,"it was going to","be"
"and i have to say",23,"and i have to","say"
"in the back of the",23,"in the back of","the"
"as a result of the",22,"as a result of","the"
"i am looking forward to",22,"i am looking forward","to"
"i dont know about you",22,"i dont know about","you"
"i fell in love with",22,"i fell in love","with"
"the end of the month",22,"the end of the","month"
"the end of the week",22,"the end of the","week"
"the united states of america",22,"the united states of","america"
"to the end of the",22,"to the end of","the"
"with the rest of the",22,"with the rest of","the"
"at the end of a",21,"at the end of","a"
"dont know about you but",21,"dont know about you","but"
"i am not going to",21,"i am not going","to"
"i dont want to be",21,"i dont want to","be"
"i had a lot of",21,"i had a lot","of"
"i have a lot of",21,"i have a lot","of"
"in the form of a",21,"in the form of","a"
"it was one of the",21,"it was one of","the"
"the th anniversary of the",21,"the th anniversary of","the"
"to figure out how to",21,"to figure out how","to"
"to find a way to",21,"to find a way","to"
"a long way to go",20,"a long way to","go"
"and i dont want to",20,"and i dont want","to"
"at this time of year",20,"at this time of","year"
"due to the fact that",20,"due to the fact","that"
"i have to say that",20,"i have to say","that"
"i will be able to",20,"i will be able","to"
"i would love to hear",20,"i would love to","hear"
"in the history of the",20,"in the history of","the"
"in the s and s",20,"in the s and","s"
"on both sides of the",20,"on both sides of","the"
"president of the united states",20,"president of the united","states"
"the accounting jobs in italy",20,"the accounting jobs in","italy"
"want to be able to",20,"want to be able","to"
"a matter of time before",19,"a matter of time","before"
"i cant tell you how",19,"i cant tell you","how"
"i felt like i was",19,"i felt like i","was"
"i have no idea how",19,"i have no idea","how"
"if you are going to",19,"if you are going","to"
"let me know what you",19,"let me know what","you"
"nothing to do with the",19,"nothing to do with","the"
"on the side of the",19,"on the side of","the"
"one of the things that",19,"one of the things","that"
"spend a lot of time",19,"spend a lot of","time"
"the end of the season",19,"the end of the","season"
"the good news is that",19,"the good news is","that"
"the rest of my life",19,"the rest of my","life"
"the university of chicago chicago",19,"the university of chicago","chicago"
"this is the first time",19,"this is the first","time"
"were going to have to",19,"were going to have","to"
"a means for sites to",18,"a means for sites","to"
"a participant in the amazon",18,"a participant in the","amazon"
"advertising and linking to amazoncom",18,"advertising and linking to","amazoncom"
"advertising fees by advertising and",18,"advertising fees by advertising","and"
"amazon eu associates programmes designed",18,"amazon eu associates programmes","designed"
"amazon eu this content is",18,"amazon eu this content","is"
"amazon services llc and amazon",18,"amazon services llc and","amazon"
"amazon services llc andor amazon",18,"amazon services llc andor","amazon"
"amazonca amazoncouk amazonde amazonfr amazonit",18,"amazonca amazoncouk amazonde amazonfr","amazonit"
"amazoncom amazonca amazoncouk amazonde amazonfr",18,"amazoncom amazonca amazoncouk amazonde","amazonfr"
"amazoncouk amazonde amazonfr amazonit and",18,"amazoncouk amazonde amazonfr amazonit","and"
"amazonde amazonfr amazonit and amazones",18,"amazonde amazonfr amazonit and","amazones"
"amazones certain content that appears",18,"amazones certain content that","appears"
"amazonfr amazonit and amazones certain",18,"amazonfr amazonit and amazones","certain"
"amazonit and amazones certain content",18,"amazonit and amazones certain","content"
"an hour and a half",18,"an hour and a","half"
"and amazon eu associates programmes",18,"and amazon eu associates","programmes"
"and amazones certain content that",18,"and amazones certain content","that"
"and is subject to change",18,"and is subject to","change"
"and linking to amazoncom amazonca",18,"and linking to amazoncom","amazonca"
"andor amazon eu this content",18,"andor amazon eu this","content"
"appears on this website comes",18,"appears on this website","comes"
"as is and is subject",18,"as is and is","subject"
"associates programmes designed to provide",18,"associates programmes designed to","provide"
"by advertising and linking to",18,"by advertising and linking","to"
"cant wait to see what",18,"cant wait to see","what"
"certain content that appears on",18,"certain content that appears","on"
"change or removal at any",18,"change or removal at","any"
"comes from amazon services llc",18,"comes from amazon services","llc"
"content is provided as is",18,"content is provided as","is"
"content that appears on this",18,"content that appears on","this"
"designed to provide a means",18,"designed to provide a","means"
"earn advertising fees by advertising",18,"earn advertising fees by","advertising"
"eu associates programmes designed to",18,"eu associates programmes designed","to"
"eu this content is provided",18,"eu this content is","provided"
"every once in a while",18,"every once in a","while"
"fees by advertising and linking",18,"fees by advertising and","linking"
"for sites to earn advertising",18,"for sites to earn","advertising"
"free game online paintball play",18,"free game online paintball","play"
"from amazon services llc andor",18,"from amazon services llc","andor"
"im going to have to",18,"im going to have","to"
"in the amazon services llc",18,"in the amazon services","llc"
"in the new york times",18,"in the new york","times"
"is a participant in the",18,"is a participant in","the"
